市县匹配键,特征值,特征数量,特征字段
东莞_东莞,聲母,7,語音特徵大類
东莞_东莞,聲調,23,語音特徵大類
东莞_东莞,非語音特徵,38,語音特徵大類
东莞_东莞,韻母,29,語音特徵大類
中山_中山,聲母,3,語音特徵大類
中山_中山,非語音特徵,3,語音特徵大類
云浮_新兴,韻母,2,語音特徵大類
云浮_罗定,聲調,2,語音特徵大類
云浮_罗定,非語音特徵,2,語音特徵大類
云浮_罗定,韻母,4,語音特徵大類
佛山_顺德,非語音特徵,10,語音特徵大類
佛山_顺德,韻母,1,語音特徵大類
佛山_高明,非語音特徵,8,語音特徵大類
广州_从化,聲調,5,語音特徵大類
广州_从化,非語音特徵,19,語音特徵大類
广州_从化,韻母,24,語音特徵大類
广州_南沙,聲調,5,語音特徵大類
广州_南沙,非語音特徵,19,語音特徵大類
广州_南沙,韻母,24,語音特徵大類
广州_增城,聲調,8,語音特徵大類
广州_增城,非語音特徵,31,語音特徵大類
广州_增城,韻母,28,語音特徵大類
广州_天河,聲調,5,語音特徵大類
广州_天河,非語音特徵,19,語音特徵大類
广州_天河,韻母,24,語音特徵大類
广州_海珠,聲調,5,語音特徵大類
广州_海珠,非語音特徵,19,語音特徵大類
广州_海珠,韻母,24,語音特徵大類
广州_番禺,聲母,2,語音特徵大類
广州_番禺,聲調,5,語音特徵大類
广州_番禺,非語音特徵,19,語音特徵大類
广州_番禺,韻母,24,語音特徵大類
广州_白云,聲調,5,語音特徵大類
广州_白云,非語音特徵,19,語音特徵大類
广州_白云,韻母,24,語音特徵大類
广州_花都,聲調,5,語音特徵大類
广州_花都,非語音特徵,19,語音特徵大類
广州_花都,韻母,24,語音特徵大類
广州_荔湾,聲調,5,語音特徵大類
广州_荔湾,非語音特徵,19,語音特徵大類
广州_荔湾,韻母,24,語音特徵大類
广州_越秀,聲母,5,語音特徵大類
广州_越秀,聲調,28,語音特徵大類
广州_越秀,非語音特徵,75,語音特徵大類
广州_越秀,韻母,54,語音特徵大類
广州_黄埔,聲調,5,語音特徵大類
广州_黄埔,非語音特徵,19,語音特徵大類
广州_黄埔,韻母,24,語音特徵大類
惠州_博罗,非語音特徵,7,語音特徵大類
惠州_博罗,韻母,4,語音特徵大類
惠州_惠东,非語音特徵,3,語音特徵大類
惠州_惠东,韻母,4,語音特徵大類
惠州_惠城,非語音特徵,7,語音特徵大類
惠州_惠城,韻母,4,語音特徵大類
惠州_惠阳,非語音特徵,13,語音特徵大類
惠州_惠阳,韻母,14,語音特徵大類
惠州_龙门,非語音特徵,3,語音特徵大類
惠州_龙门,韻母,4,語音特徵大類
揭阳_惠来,聲母,1,語音特徵大類
揭阳_惠来,非語音特徵,11,語音特徵大類
揭阳_惠来,韻母,19,語音特徵大類
揭阳_揭东,聲母,2,語音特徵大類
揭阳_揭东,非語音特徵,27,語音特徵大類
揭阳_揭东,韻母,36,語音特徵大類
揭阳_揭西,聲母,2,語音特徵大類
揭阳_揭西,非語音特徵,27,語音特徵大類
揭阳_揭西,韻母,36,語音特徵大類
揭阳_普宁,聲母,2,語音特徵大類
揭阳_普宁,聲調,10,語音特徵大類
揭阳_普宁,非語音特徵,46,語音特徵大類
揭阳_普宁,韻母,40,語音特徵大類
揭阳_榕城,聲母,1,語音特徵大類
揭阳_榕城,非語音特徵,11,語音特徵大類
揭阳_榕城,韻母,19,語音特徵大類
梅州_丰顺,聲母,2,語音特徵大類
梅州_丰顺,聲調,20,語音特徵大類
梅州_丰顺,非語音特徵,31,語音特徵大類
梅州_丰顺,韻母,35,語音特徵大類
梅州_五华,聲母,2,語音特徵大類
梅州_五华,聲調,19,語音特徵大類
梅州_五华,非語音特徵,33,語音特徵大類
梅州_五华,韻母,28,語音特徵大類
梅州_兴宁,聲母,4,語音特徵大類
梅州_兴宁,聲調,20,語音特徵大類
梅州_兴宁,非語音特徵,45,語音特徵大類
